Registration_number ,Field_number,Class,Order,Family,Genus,Species,Country,Locality,Latitude,Longitude,Extent,Notes,Collector_donor,Comments,Type_status,Genetic_resources
2013.356,None,Amphibia,Anura,Pipidae,Xenopus ,tropicalis,Sierra Leone,Southern: Moyamba District: Kasewe Hills Forest Reserve,8.1,-12.08333333,0,N/A,Richard C. Tinsley,"altitude 50; Collected on 22-March-1979; Notes: Shallow stream at Mokunde, farmbush, very dry before start of rains. 5 small juveniles, 1 subadult, adults in the same population sample measured up to 50 mm SVL - examined for parasites.",Non-type,Archival
2013.357,None,Amphibia,Anura,Pipidae,Xenopus ,tropicalis,Sierra Leone,Southern: Moyamba District: Kasewe Hills Forest Reserve,8.1,-12.08333333,0,N/A,Richard C. Tinsley,"altitude 50; Collected on 22-March-1979; Notes: Shallow stream at Mokunde, farmbush, very dry before start of rains. 5 small juveniles, 1 subadult, adults in the same population sample measured up to 50 mm SVL - examined for parasites.",Non-type,Archival
2013.358,None,Amphibia,Anura,Pipidae,Xenopus ,tropicalis,Sierra Leone,Southern: Moyamba District: Kasewe Hills Forest Reserve,8.1,-12.08333333,0,N/A,Richard C. Tinsley,"altitude 50; Collected on 22-March-1979; Notes: Shallow stream at Mokunde, farmbush, very dry before start of rains. 5 small juveniles, 1 subadult, adults in the same population sample measured up to 50 mm SVL - examined for parasites.",Non-type,Archival
2013.359,None,Amphibia,Anura,Pipidae,Xenopus ,tropicalis,Sierra Leone,Southern: Moyamba District: Kasewe Hills Forest Reserve,8.1,-12.08333333,0,N/A,Richard C. Tinsley,"altitude 50; Collected on 22-March-1979; Notes: Shallow stream at Mokunde, farmbush, very dry before start of rains. 5 small juveniles, 1 subadult, adults in the same population sample measured up to 50 mm SVL - examined for parasites.",Non-type,Archival
2013.360,None,Amphibia,Anura,Pipidae,Xenopus ,tropicalis,Sierra Leone,Southern: Moyamba District: Kasewe Hills Forest Reserve,8.1,-12.08333333,0,N/A,Richard C. Tinsley,"altitude 50; Collected on 22-March-1979; Notes: Shallow stream at Mokunde, farmbush, very dry before start of rains. 5 small juveniles, 1 subadult, adults in the same population sample measured up to 50 mm SVL - examined for parasites.",Non-type,Archival
2013.361,None,Amphibia,Anura,Pipidae,Xenopus ,tropicalis,Sierra Leone,Southern: Moyamba District: Kasewe Hills Forest Reserve,8.1,-12.08333333,0,N/A,Richard C. Tinsley,"altitude 50; Collected on 22-March-1979; Notes: Shallow stream at Mokunde, farmbush, very dry before start of rains. 5 small juveniles, 1 subadult, adults in the same population sample measured up to 50 mm SVL - examined for parasites.",Non-type,Archival
2013.362,None,Amphibia,Anura,Pipidae,Pseudhymenochirus,merlini,Sierra Leone,Southern: Moyamba District: Njala University College,8.320833333,-12.22,0,N/A,Richard C. Tinsley,"altitude 65; Collected on 3-April-1979; Notes: Maintained in captivity (in London) until preserved 13 November 1979. End of dry season, previous night with heavy rain. Collection during afternoon near Moyambawo village. Caught by villagers (for food) using shallow baskets sieved through the waterin a stream leading from forest edge into cultivated swamp with raised banks planted with crops: pool 5 x 2 x 0.5 m deep. Open area without tree canopy cover but adjacent to forest. ",Non-type,Archival
2013.363,None,Amphibia,Anura,Pipidae,Pseudhymenochirus,merlini,Sierra Leone,Southern: Moyamba District: Njala University College,8.320833333,-12.22,0,N/A,Richard C. Tinsley,"altitude 65; Collected on 3-April-1979; Notes: Maintained in captivity (in London) until preserved 13 November 1979. End of dry season, previous night with heavy rain. Collection during afternoon near Moyambawo village. Caught by villagers (for food) using shallow baskets sieved through the waterin a stream leading from forest edge into cultivated swamp with raised banks planted with crops: pool 5 x 2 x 0.5 m deep. Open area without tree canopy cover but adjacent to forest. ",Non-type,Archival
2013.364,None,Amphibia,Anura,Pipidae,Pseudhymenochirus,merlini,Sierra Leone,Southern: Moyamba District: Njala University College,8.320833333,-12.22,0,N/A,Richard C. Tinsley,"altitude 65; Collected on 3-April-1979; Notes: Maintained in captivity (in London) until preserved 13 November 1979. End of dry season, previous night with heavy rain. Collection during afternoon near Moyambawo village. Caught by villagers (for food) using shallow baskets sieved through the waterin a stream leading from forest edge into cultivated swamp with raised banks planted with crops: pool 5 x 2 x 0.5 m deep. Open area without tree canopy cover but adjacent to forest. ",Non-type,Archival
2013.365,None,Amphibia,Anura,Pipidae,Pseudhymenochirus,merlini,Sierra Leone,Southern: Moyamba District: Njala University College,8.320833333,-12.22,0,N/A,Richard C. Tinsley,"altitude 65; Collected on 3-April-1979; Notes: Maintained in captivity (in London) until preserved 13 November 1979. End of dry season, previous night with heavy rain. Collection during afternoon near Moyambawo village. Caught by villagers (for food) using shallow baskets sieved through the waterin a stream leading from forest edge into cultivated swamp with raised banks planted with crops: pool 5 x 2 x 0.5 m deep. Open area without tree canopy cover but adjacent to forest. ",Non-type,Archival
2013.366,None,Amphibia,Anura,Pipidae,Pseudhymenochirus,merlini,Sierra Leone,Southern: Moyamba District: Njala University College,8.320833333,-12.22,0,N/A,Richard C. Tinsley,"altitude 65; Collected on 3-April-1979; Notes: End of dry season, previous night with heavy rain. Collection during afternoon near Moyambawo village. Caught by villagers (for food) using shallow baskets sieved through the waterin a stream leading from forest edge into cultivated swamp with raised banks planted with crops: pool 5 x 2 x 0.5 m deep. Open area without tree canopy cover but adjacent to forest. ",Non-type,Archival
