Registration_number ,Field_number,Class,Order,Family,Genus,Species,Country,Locality,Latitude,Longitude,Extent,Notes,Collector_donor,Comments,Type_status,Genetic_resources
2005.1870,MW10873,Amphibia,Anura,Craugastoridae,Craugastor,cf. laticeps,Honduras, Cort‚s: Cusuco National Park: Santo Tomas,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM596; Collected 21 July 2015; Notes: DOR,Non-type,Frozen (Muscle)
2005.1871,MW10874,Amphibia,Anura,Craugastoridae,Craugastor,laticeps,Honduras, Cort‚s: Cusuco National Park: Santo Tomas,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM636; Collected June-July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1872,MW10875,Amphibia,Anura,Craugastoridae,Craugastor,laticeps,Honduras, Cort‚s: Cusuco National Park: Santo Tomas,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM635; Collected June-July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1873,MW10876,Amphibia,Anura,Hyllidae,Duellmanohyla,soralia,Honduras, Cort‚s: Cusuco National Park: Santo Tomas,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM638; Collected June-July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1874,MW10877,Amphibia,Anura,Centrolenidae,Hyalinobatrachium,fleischmanni,Honduras, Cort‚s: Cusuco National Park: Santo Tomas,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM637; Collected June-July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1875,MW10896,Amphibia,Anura,Hylidae,Plectrohyla,exquisita,Honduras, Cort‚s: Cusuco National Park,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM641; Collected June-July 2015; Notes: Big,Non-type,Frozen (Muscle)
2005.1876,MW10904,Amphibia,Anura,Hylidae,Plectrohyla,exquisita,Honduras, Cort‚s: Cusuco National Park: Base Camp - River,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM651; Collected 18 Juy 2015; Notes: Swabbed for presence/absence and qPCR. JL_18/06/15_BC_20:46,Non-type,Frozen (Muscle)
2005.1877,MW10906,Amphibia,Anura,Hylidae,Plectrohyla,cf. exquisita,Honduras," Cort‚s: Cusuco National Park: Base Camp, site 2",15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM653; Collected 26 July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1878,None,Amphibia,Anura,Bufonidae,Rhinella,marinus,Honduras, Cort‚s: Cusuco National Park: Buenes Aires,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM678; Collected June-July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1879,MW10869,Amphibia,Caudata,Plethodontidae,Oedepina,sp.,Honduras, Cort‚s: Cusuco National Park: Cantilles T5,15.51366,-88.24229,0,N/A,Simon Maddock,Other ID SM564; Collected 5 July 2015; Notes: Digging,Non-type,Frozen (Muscle)
2005.1880,MW10887,Amphibia,Caudata,Plethodontidae,Bolitoglossa,nympha,Honduras, Cort‚s: Cusuco National Park: Santo Tomas,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM639; Collected June-July 2015; Notes: None,Non-type,Frozen (Muscle)
2005.1881,MW10888,Amphibia,Caudata,Plethodontidae,Bolitoglossa,diaphora,Honduras, Cort‚s: Cusuco National Park,15.499120,-88.213026,10,Took centroid of park. Extent determined as distance from centroid to Cofradia.,Simon Maddock,Other ID SM620; Collected June-July 2015; Notes: None,Non-type,Frozen (Tail tip)
